id_facturaDET,id_facturaENC,id_producto,cantidad,precio_unitario
1,1,2,2,650000
2,1,4,1,9500
3,2,1,1,520000
4,2,5,3,18000
5,3,3,2,98000
6,3,6,1,22000
7,4,7,4,27000
8,5,8,2,32000
9,5,9,1,45000
10,6,10,1,380000
11,6,11,2,250000
12,7,12,1,210000
13,8,2,3,650000
14,8,4,2,9500
15,9,5,1,18000
16,9,6,1,22000
17,9,7,2,27000
18,10,8,1,32000
19,10,9,1,45000
20,10,1,1,520000
21,11,5,1,18000
22,11,12,2,210000
23,11,2,2,650000
24,11,3,2,98000
25,12,1,3,520000
26,12,4,2,9500
27,12,10,2,380000
28,12,1,3,520000
29,12,4,3,9500
30,13,7,1,27000
31,13,1,3,520000
32,13,12,1,210000
33,14,4,1,9500
34,14,1,3,520000
35,15,4,1,9500
36,16,7,3,27000
37,16,3,2,98000
38,16,5,2,18000
39,17,9,1,45000
40,17,9,3,45000
41,17,12,2,210000
42,17,1,3,520000
43,18,3,2,98000
44,18,9,1,45000
45,19,12,1,210000
46,19,2,3,650000
47,19,5,1,18000
48,20,5,2,18000
49,20,7,3,27000
50,20,1,1,520000
51,20,9,3,45000
52,21,7,3,27000
53,21,11,3,250000
54,21,4,3,9500
55,21,1,3,520000
56,22,1,3,520000
57,22,1,1,520000
58,23,3,3,98000
59,23,7,1,27000
60,23,10,3,380000
61,24,2,1,650000
62,24,4,2,9500
63,24,3,3,98000
64,25,8,3,32000
65,26,4,2,9500
66,26,5,2,18000
67,26,8,3,32000
68,26,6,3,22000
69,27,5,3,18000
70,27,5,2,18000
71,27,2,3,650000
72,27,8,3,32000
73,28,10,2,380000
74,28,9,1,45000
75,28,2,2,650000
76,28,12,2,210000
77,28,4,2,9500
78,29,6,1,22000
79,29,3,1,98000
80,29,8,1,32000
81,29,1,2,520000
82,29,6,2,22000
83,30,1,1,520000
84,31,2,3,650000
85,32,9,1,45000
86,32,11,2,250000
87,33,10,3,380000
88,33,3,1,98000
89,33,12,3,210000
90,34,1,1,520000
91,34,8,3,32000
92,34,5,2,18000
93,34,7,2,27000
94,35,7,3,27000
95,35,11,2,250000
96,35,3,1,98000
97,35,12,1,210000
98,36,9,3,45000
99,36,12,3,210000
100,37,5,2,18000
101,37,12,1,210000
102,37,5,3,18000
103,38,5,3,18000
104,38,6,2,22000
105,38,6,3,22000
106,38,8,3,32000
107,38,3,1,98000
108,39,11,3,250000
109,39,5,3,18000
110,39,1,2,520000
111,40,1,1,520000
112,40,5,1,18000
113,41,8,1,32000
114,42,11,1,250000
115,42,11,2,250000
116,42,11,2,250000
117,42,8,3,32000
118,42,11,2,250000
119,43,5,2,18000
120,43,3,3,98000
121,43,12,1,210000
122,43,8,2,32000
123,43,8,3,32000
124,44,2,2,650000
125,45,2,2,650000
126,45,10,1,380000
127,45,2,3,650000
128,46,10,3,380000
129,46,6,2,22000
130,46,5,3,18000
131,47,12,2,210000
132,47,8,1,32000
133,47,6,2,22000
134,48,3,2,98000
135,48,1,2,520000
136,48,8,1,32000
137,48,10,2,380000
138,49,8,2,32000
139,49,10,1,380000
140,49,1,3,520000
141,50,7,3,27000
142,50,12,3,210000
143,50,12,3,210000
144,50,8,2,32000
145,50,12,1,210000
146,51,10,2,380000
147,51,2,2,650000
148,52,1,2,520000
149,53,8,2,32000
150,54,3,1,98000
151,54,3,3,98000
152,55,2,3,650000
153,55,9,1,45000
154,56,12,1,210000
155,56,5,3,18000
156,56,2,1,650000
157,56,7,3,27000
158,56,11,2,250000
