id_factura,numero,fecha,condicion_IVA,id_sucursal,id_cliente
1,F-0001,04/09/2025,Consumidor Final,1,1
2,F-0002,04/09/2025,Consumidor Final,1,2
3,F-0003,04/09/2025,Consumidor Final,1,3
4,F-0004,04/09/2025,Consumidor Final,1,4
5,F-0005,04/09/2025,Consumidor Final,1,5
6,F-0006,04/09/2025,Consumidor Final,1,6
7,F-0007,04/09/2025,Consumidor Final,1,7
8,F-0008,04/09/2025,Consumidor Final,1,8
9,F-0009,04/09/2025,Consumidor Final,1,9
10,F-0010,04/09/2025,Consumidor Final,1,10
11,F-0001-00000011,02/01/2023,Consumidor Final,1,9
12,F-0001-00000012,02/01/2023,Consumidor Final,1,4
13,F-0001-00000013,02/01/2023,Consumidor Final,1,2
14,F-0001-00000014,02/01/2023,Consumidor Final,1,6
15,F-0001-00000015,02/01/2023,Consumidor Final,1,9
16,F-0001-00000016,02/01/2023,Consumidor Final,1,7
17,F-0001-00000017,03/01/2023,Consumidor Final,1,9
18,F-0001-00000018,03/01/2023,Consumidor Final,1,5
19,F-0001-00000019,03/01/2023,Consumidor Final,1,10
20,F-0001-00000020,03/01/2023,Consumidor Final,1,3
21,F-0001-00000021,03/01/2023,Consumidor Final,1,6
22,F-0001-00000022,03/01/2023,Consumidor Final,1,6
23,F-0001-00000023,03/01/2023,Consumidor Final,1,10
24,F-0001-00000024,03/01/2023,Consumidor Final,1,10
25,F-0001-00000025,03/01/2023,Consumidor Final,1,2
26,F-0001-00000026,03/01/2023,Consumidor Final,1,6
27,F-0001-00000027,04/01/2023,Consumidor Final,1,1
28,F-0001-00000028,04/01/2023,Consumidor Final,1,9
29,F-0001-00000029,04/01/2023,Consumidor Final,1,2
30,F-0001-00000030,04/01/2023,Consumidor Final,1,5
31,F-0001-00000031,04/01/2023,Consumidor Final,1,3
32,F-0001-00000032,04/01/2023,Consumidor Final,1,8
33,F-0001-00000033,05/01/2023,Consumidor Final,1,4
34,F-0001-00000034,05/01/2023,Consumidor Final,1,6
35,F-0001-00000035,05/01/2023,Consumidor Final,1,10
36,F-0001-00000036,05/01/2023,Consumidor Final,1,1
37,F-0001-00000037,05/01/2023,Consumidor Final,1,3
38,F-0001-00000038,05/01/2023,Consumidor Final,1,1
39,F-0001-00000039,05/01/2023,Consumidor Final,1,2
40,F-0001-00000040,05/01/2023,Consumidor Final,1,1
41,F-0001-00000041,05/01/2023,Consumidor Final,1,4
42,F-0001-00000042,05/01/2023,Consumidor Final,1,8
43,F-0001-00000043,05/01/2023,Consumidor Final,1,9
44,F-0001-00000044,05/01/2023,Consumidor Final,1,4
45,F-0001-00000045,05/01/2023,Consumidor Final,1,6
46,F-0001-00000046,05/01/2023,Consumidor Final,1,9
47,F-0001-00000047,05/01/2023,Consumidor Final,1,3
48,F-0001-00000048,06/01/2023,Consumidor Final,1,4
49,F-0001-00000049,06/01/2023,Consumidor Final,1,10
50,F-0001-00000050,06/01/2023,Consumidor Final,1,5
51,F-0001-00000051,06/01/2023,Consumidor Final,1,6
52,F-0001-00000052,06/01/2023,Consumidor Final,1,7
53,F-0001-00000053,06/01/2023,Consumidor Final,1,6
54,F-0001-00000054,06/01/2023,Consumidor Final,1,4
55,F-0001-00000055,06/01/2023,Consumidor Final,1,6
56,F-0001-00000056,06/01/2023,Consumidor Final,1,2
57,F-0001-00000057,06/01/2023,Consumidor Final,1,2
58,F-0001-00000058,06/01/2023,Consumidor Final,1,1
59,F-0001-00000059,06/01/2023,Consumidor Final,1,4
60,F-0001-00000060,09/01/2023,Consumidor Final,1,7
61,F-0001-00000061,09/01/2023,Consumidor Final,1,5
62,F-0001-00000062,09/01/2023,Consumidor Final,1,9
63,F-0001-00000063,09/01/2023,Consumidor Final,1,4
64,F-0001-00000064,09/01/2023,Consumidor Final,1,8
65,F-0001-00000065,09/01/2023,Consumidor Final,1,3
66,F-0001-00000066,09/01/2023,Consumidor Final,1,2
67,F-0001-00000067,09/01/2023,Consumidor Final,1,10
68,F-0001-00000068,09/01/2023,Consumidor Final,1,3
69,F-0001-00000069,09/01/2023,Consumidor Final,1,1
70,F-0001-00000070,09/01/2023,Consumidor Final,1,7
71,F-0001-00000071,09/01/2023,Consumidor Final,1,9
72,F-0001-00000072,09/01/2023,Consumidor Final,1,3
73,F-0001-00000073,09/01/2023,Consumidor Final,1,2
74,F-0001-00000074,09/01/2023,Consumidor Final,1,8
75,F-0001-00000075,10/01/2023,Consumidor Final,1,10
76,F-0001-00000076,10/01/2023,Consumidor Final,1,10
77,F-0001-00000077,10/01/2023,Consumidor Final,1,7
78,F-0001-00000078,10/01/2023,Consumidor Final,1,8
79,F-0001-00000079,10/01/2023,Consumidor Final,1,5
80,F-0001-00000080,10/01/2023,Consumidor Final,1,10
81,F-0001-00000081,11/01/2023,Consumidor Final,1,1
82,F-0001-00000082,11/01/2023,Consumidor Final,1,7
83,F-0001-00000083,11/01/2023,Consumidor Final,1,8
84,F-0001-00000084,11/01/2023,Consumidor Final,1,8
85,F-0001-00000085,11/01/2023,Consumidor Final,1,9
86,F-0001-00000086,11/01/2023,Consumidor Final,1,3
87,F-0001-00000087,12/01/2023,Consumidor Final,1,10
88,F-0001-00000088,12/01/2023,Consumidor Final,1,8
89,F-0001-00000089,12/01/2023,Consumidor Final,1,10
90,F-0001-00000090,12/01/2023,Consumidor Final,1,9
91,F-0001-00000091,12/01/2023,Consumidor Final,1,6
92,F-0001-00000092,12/01/2023,Consumidor Final,1,3
93,F-0001-00000093,12/01/2023,Consumidor Final,1,4
94,F-0001-00000094,12/01/2023,Consumidor Final,1,5
95,F-0001-00000095,12/01/2023,Consumidor Final,1,10
96,F-0001-00000096,13/01/2023,Consumidor Final,1,5
97,F-0001-00000097,13/01/2023,Consumidor Final,1,8
98,F-0001-00000098,13/01/2023,Consumidor Final,1,5
99,F-0001-00000099,13/01/2023,Consumidor Final,1,2
100,F-0001-00000100,13/01/2023,Consumidor Final,1,9
101,F-0001-00000101,13/01/2023,Consumidor Final,1,9
102,F-0001-00000102,13/01/2023,Consumidor Final,1,8
103,F-0001-00000103,13/01/2023,Consumidor Final,1,7
104,F-0001-00000104,13/01/2023,Consumidor Final,1,10
105,F-0001-00000105,13/01/2023,Consumidor Final,1,1
106,F-0001-00000106,16/01/2023,Consumidor Final,1,5
107,F-0001-00000107,16/01/2023,Consumidor Final,1,8
108,F-0001-00000108,16/01/2023,Consumidor Final,1,6
109,F-0001-00000109,16/01/2023,Consumidor Final,1,10
110,F-0001-00000110,16/01/2023,Consumidor Final,1,9
111,F-0001-00000111,16/01/2023,Consumidor Final,1,7
112,F-0001-00000112,16/01/2023,Consumidor Final,1,1
113,F-0001-00000113,16/01/2023,Consumidor Final,1,1
114,F-0001-00000114,16/01/2023,Consumidor Final,1,10
115,F-0001-00000115,16/01/2023,Consumidor Final,1,6
116,F-0001-00000116,17/01/2023,Consumidor Final,1,1
