id_venta,id_factura,monto
1,1,1309500
2,2,574000
3,3,218000
4,4,108000
5,5,119000
6,6,880000
7,7,210000
8,8,1968500
9,9,94000
10,10,597000
11,11,1934000
12,12,3927500
13,13,1797000
14,14,1569500
15,15,9500
16,16,313000
17,17,2160000
18,18,241000
19,19,2178000
20,20,772000
21,21,2419500
22,22,2080000
23,23,1461000
24,24,963000
25,25,96000
26,26,217000
27,27,2136000
28,28,2544000
29,29,1236000
30,30,520000
31,31,1950000
32,32,545000
33,33,1868000
34,34,706000
35,35,889000
36,36,765000
37,37,300000
38,38,358000
39,39,1844000
40,40,538000
41,41,32000
42,42,1846000
43,43,700000
44,44,1300000
45,45,3630000
46,46,1238000
47,47,496000
48,48,2028000
49,49,2004000
50,50,1615000
51,51,2060000
52,52,1040000
53,53,64000
54,54,392000
55,55,1995000
56,56,1495000
57,57,1959500
58,58,1271000
59,59,1510000
60,60,551000
61,61,5310000
62,62,739000
63,63,22000
64,64,788000
65,65,726000
66,66,19000
67,67,2165000
68,68,4416000
69,69,126000
70,70,520000
71,71,96000
72,72,2339000
73,73,436000
74,74,32000
75,75,1761000
76,76,813500
77,77,303500
78,78,135000
79,79,3250000
80,80,1293000
81,81,1499000
82,82,2435000
83,83,81000
84,84,1560000
85,85,294000
86,86,334000
87,87,1416000
88,88,2510000
89,89,1158000
90,90,738000
91,91,22000
92,92,1212000
93,93,2399000
94,94,601000
95,95,90000
96,96,819000
97,97,750000
98,98,4530000
99,99,45000
100,100,1409000
101,101,2114000
102,102,64000
103,103,1041000
104,104,2447000
105,105,1533500
106,106,2698500
107,107,3040000
108,108,54000
109,109,208000
110,110,64000
111,111,1309000
112,112,54000
113,113,1738000
114,114,594000
115,115,2538000
116,116,1228000
117,117,938000
118,118,96000
119,119,276000
120,120,85000
121,121,2006000
122,122,618000
123,123,66000
124,124,99000
125,125,277000
126,126,1560000
127,127,1638500
128,128,1036000
129,129,1194000
130,130,836000
131,131,1859000
132,132,2058000
133,133,1380000
134,134,290500
135,135,2030000
136,136,708000
137,137,736000
138,138,760000
139,139,255000
140,140,45000
141,141,3219000
142,142,1454000
143,143,18000
144,144,96000
145,145,2074500
146,146,574000
147,147,145000
148,148,1791000
149,149,1560000
150,150,232000
151,151,2526000
152,152,500000
153,153,1922000
154,154,1077000
155,155,430000
156,156,224500
157,157,44000
158,158,1406500
159,159,1942000
160,160,623500
161,161,19000
162,162,3800000
163,163,750000
164,164,2384000
165,165,2202000
166,166,703000
167,167,2739000
168,168,964000
169,169,1281500
170,170,946000
171,171,1149500
172,172,184000
173,173,644000
174,174,1517000
175,175,488500
176,176,54000
177,177,1072000
178,178,687000
179,179,44000
180,180,98000
181,181,226000
182,182,2643500
183,183,493000
184,184,547500
185,185,790000
186,186,894000
187,187,3932000
188,188,650000
189,189,1275000
190,190,2244000
191,191,332000
192,192,277000
193,193,1240000
194,194,135000
195,195,135000
196,196,372000
197,197,2224000
198,198,1040000
199,199,1307000
200,200,2302500
201,201,547000
202,202,1085000
203,203,1880000
204,204,447500
205,205,196000
206,206,28500
207,207,2125000
208,208,1722000
209,209,294000
210,210,3792000
211,211,790000
212,212,1364000
213,213,60500
214,214,1950000
215,215,630000
216,216,1308000
217,217,162500
218,218,66000
219,219,2014000
220,220,210000
221,221,1989000
222,222,32000
223,223,2991000
224,224,1140000
225,225,45000
226,226,1702000
227,227,696000
228,228,152000
229,229,2358000
230,230,536000
231,231,1452500
232,232,616000
233,233,630000
234,234,501000
235,235,1651000
236,236,135000
237,237,358000
238,238,135000
239,239,826000
240,240,2701000
241,241,2545000
242,242,118000
243,243,1093000
244,244,3220000
245,245,1594000
246,246,45000
247,247,282000
248,248,5444000
249,249,1275000
250,250,581000
251,251,4318500
252,252,4110000
253,253,1216000
254,254,313000
255,255,282000
256,256,2755000
257,257,1420000
258,258,1058500
259,259,2494000
260,260,1836000
261,261,3157000
262,262,44000
263,263,380000
264,264,730000
265,265,1819000
266,266,1404000
267,267,1162000
268,268,436000
269,269,126500
270,270,748000
271,271,970000
272,272,1140000
273,273,2058000
274,274,635000
275,275,452000
276,276,952000
277,277,2060000
278,278,772000
279,279,64000
280,280,815000
281,281,1866000
282,282,250000
283,283,1278500
284,284,259500
285,285,2114000
286,286,900000
287,287,2246000
288,288,966000
289,289,1152000
290,290,189000
291,291,1776500
292,292,98000
293,293,760000
294,294,1178500
295,295,96000
296,296,243000
297,297,1560000
298,298,2094500
299,299,96000
300,300,384000
301,301,992000
302,302,32000
303,303,1138000
304,304,206000
305,305,542000
306,306,1854000
307,307,1966000
308,308,1094000
309,309,321000
310,310,2121500
311,311,141000
312,312,326000
313,313,646500
314,314,1909500
315,315,1146500
316,316,2222000
317,317,2004000
318,318,81000
319,319,1636000
320,320,81000
321,321,760000
322,322,501000
323,323,380000
324,324,1013000
325,325,2310000
326,326,601000
327,327,2986000
328,328,402000
329,329,28500
330,330,476000
331,331,646500
332,332,512000
333,333,32000
334,334,1643500
335,335,1040000
336,336,407000
337,337,2156000
338,338,630000
339,339,1430000
340,340,809000
341,341,2498000
342,342,2193000
343,343,27500
344,344,248500
345,345,1113000
346,346,1540000
347,347,1756000
348,348,3544000
349,349,3038000
350,350,650000
351,351,654500
352,352,375000
353,353,66000
354,354,90000
355,355,747500
356,356,196000
357,357,294000
358,358,337000
359,359,480000
360,360,2582000
361,361,552000
362,362,2125000
363,363,248000
364,364,2151000
365,365,1170000
366,366,259000
367,367,2589000
368,368,96000
369,369,572500
370,370,922500
371,371,2040000
372,372,890000
373,373,1600000
374,374,931000
375,375,180000
376,376,471000
377,377,2304000
378,378,207500
379,379,225000
380,380,417000
381,381,1400000
382,382,2320000
383,383,1734000
384,384,1228000
385,385,2630000
386,386,2088500
387,387,1040000
388,388,1400000
389,389,684000
390,390,1668000
391,391,1474000
392,392,1049500
393,393,733000
394,394,3348000
395,395,2195000
396,396,530000
397,397,1120000
398,398,1560000
399,399,208500
400,400,757000
401,401,804000
402,402,420000
403,403,1950000
404,404,555000
405,405,1065500
406,406,291500
407,407,922500
408,408,1091000
409,409,3570500
410,410,885000
411,411,196000
412,412,1645000
413,413,375000
414,414,251000
415,415,1643000
416,416,1416500
417,417,2465000
418,418,2046000
419,419,186000
420,420,2391000
421,421,99000
422,422,573000
423,423,73000
424,424,520000
425,425,474500
426,426,1108000
427,427,2719000
428,428,1950000
429,429,1887500
430,430,1028500
431,431,342000
432,432,2963000
433,433,1299000
434,434,45000
435,435,9500
436,436,2047000
437,437,2047000
438,438,108000
439,439,927000
440,440,733000
441,441,2377000
442,442,336000
443,443,80000
444,444,1676000
445,445,1085000
446,446,620000
447,447,779000
448,448,270000
449,449,3720000
450,450,1508000
451,451,54000
452,452,491000
453,453,650000
454,454,502000
455,455,4185000
456,456,650000
457,457,2321000
458,458,46000
459,459,695500
460,460,36000
461,461,2031000
462,462,45000
463,463,918000
464,464,1936000
465,465,3219000
466,466,2394000
467,467,108000
468,468,502000
469,469,19000
470,470,380000
471,471,330000
